,x_coord,y_coord,geometry,h_distance,Year,Elevation,sectionId
193,401845.7523974826,5755910.169403192,POINT (401845.7523974826 5755910.169403192),8.067729083712452,DTM_2018,80.26216125488281,Chainage 225
194,401845.85948225786,5755910.222491217,POINT (401845.8594822579 5755910.222491217),8.187250995998346,DTM_2018,80.28694152832031,Chainage 225
195,401845.96656703315,5755910.275579243,POINT (401845.9665670331 5755910.275579243),8.306772908697903,DTM_2018,80.29617309570312,Chainage 225
196,401846.07365180843,5755910.328667268,POINT (401846.0736518084 5755910.328667268),8.426294820983797,DTM_2018,80.29617309570312,Chainage 225
197,401846.18073658366,5755910.381755293,POINT (401846.1807365837 5755910.381755293),8.54581673321754,DTM_2018,80.31977081298828,Chainage 225
198,401846.28782135894,5755910.434843319,POINT (401846.2878213589 5755910.434843319),8.665338645503434,DTM_2018,80.33452606201172,Chainage 225
199,401846.3949061342,5755910.487931344,POINT (401846.3949061342 5755910.487931344),8.784860557789328,DTM_2018,80.33499908447266,Chainage 225
200,401846.5019909095,5755910.541019369,POINT (401846.5019909095 5755910.541019369),8.904382470075221,DTM_2018,80.37000274658203,Chainage 225
201,401846.6090756848,5755910.594107395,POINT (401846.6090756848 5755910.594107395),9.023904382774779,DTM_2018,80.40235137939453,Chainage 225
202,401846.71616046,5755910.64719542,POINT (401846.71616046 5755910.64719542),9.143426295008522,DTM_2018,80.42500305175781,Chainage 225
203,401846.8232452353,5755910.700283445,POINT (401846.8232452353 5755910.700283445),9.262948207294416,DTM_2018,80.42500305175781,Chainage 225
204,401846.9303300106,5755910.753371471,POINT (401846.9303300106 5755910.753371471),9.38247011958031,DTM_2018,80.42842102050781,Chainage 225
205,401847.0374147859,5755910.806459496,POINT (401847.0374147859 5755910.806459496),9.501992031866203,DTM_2018,80.43529510498047,Chainage 225
206,401847.14449956117,5755910.859547522,POINT (401847.1444995612 5755910.859547522),9.621513944565761,DTM_2018,80.43529510498047,Chainage 225
207,401847.2515843364,5755910.912635547,POINT (401847.2515843364 5755910.912635547),9.741035856799504,DTM_2018,80.43412017822266,Chainage 225
208,401847.3586691117,5755910.965723572,POINT (401847.3586691117 5755910.965723572),9.860557769085398,DTM_2018,80.4310531616211,Chainage 225
209,401847.46575388697,5755911.0188115975,POINT (401847.465753887 5755911.018811597),9.980079681371292,DTM_2018,80.4310531616211,Chainage 225
210,401847.57283866225,5755911.071899623,POINT (401847.5728386623 5755911.071899623),10.099601593657185,DTM_2018,80.42285919189453,Chainage 225
211,401847.6799234375,5755911.124987649,POINT (401847.6799234375 5755911.124987649),10.219123506304593,DTM_2018,80.40333557128906,Chainage 225
212,401847.78700821276,5755911.178075674,POINT (401847.7870082128 5755911.178075674),10.338645418590486,DTM_2018,80.37388610839844,Chainage 225
213,401847.89409298805,5755911.231163699,POINT (401847.894092988 5755911.231163699),10.45816733087638,DTM_2018,80.35613250732422,Chainage 225
214,401848.00117776333,5755911.284251724,POINT (401848.0011777633 5755911.284251724),10.577689243162274,DTM_2018,80.34468841552734,Chainage 225
215,401848.1082625386,5755911.33733975,POINT (401848.1082625386 5755911.33733975),10.697211155448167,DTM_2018,80.3536376953125,Chainage 225
216,401848.21534731385,5755911.390427775,POINT (401848.2153473138 5755911.390427775),10.816733067681911,DTM_2018,80.35466766357422,Chainage 225
217,401848.32243208913,5755911.443515801,POINT (401848.3224320891 5755911.443515801),10.936254980381468,DTM_2018,80.36868286132812,Chainage 225
218,401848.4295168644,5755911.496603826,POINT (401848.4295168644 5755911.496603826),11.055776892667366,DTM_2018,80.38666534423828,Chainage 225
219,401848.5366016397,5755911.549691851,POINT (401848.5366016397 5755911.549691851),11.175298804953256,DTM_2018,80.39375305175781,Chainage 225
220,401848.643686415,5755911.602779876,POINT (401848.643686415 5755911.602779876),11.29482071723915,DTM_2018,80.39375305175781,Chainage 225
221,401848.7507711902,5755911.655867902,POINT (401848.7507711902 5755911.655867902),11.414342629472893,DTM_2018,80.38800048828125,Chainage 225
222,401848.8578559655,5755911.708955928,POINT (401848.8578559655 5755911.708955928),11.533864542172454,DTM_2018,80.38882446289062,Chainage 225
223,401848.9649407408,5755911.762043953,POINT (401848.9649407408 5755911.762043953),11.653386454458348,DTM_2018,80.38882446289062,Chainage 225
224,401849.07202551607,5755911.815131978,POINT (401849.0720255161 5755911.815131978),11.772908366744238,DTM_2018,80.39827728271484,Chainage 225
225,401849.1791102913,5755911.868220003,POINT (401849.1791102913 5755911.868220003),11.892430278977985,DTM_2018,80.38500213623047,Chainage 225
226,401849.2861950666,5755911.9213080285,POINT (401849.2861950666 5755911.921308029),12.011952191263878,DTM_2018,80.39410400390625,Chainage 225
